latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0373,40.536,326.99,0.67,0.73,2020-01-14,1119,N,VIIRS,n,2,288.11,3.8,D,0
37.03714,40.52828,326.75,0.66,0.73,2020-01-14,1119,N,VIIRS,n,2,288.18,3.8,D,0
37.03753,40.52845,330.53,0.67,0.73,2020-01-14,1119,N,VIIRS,n,2,288.24,4.71,D,0
37.07959,40.21391,329.99,0.64,0.72,2020-01-14,1119,N,VIIRS,n,2,289.31,5.93,D,0
37.12336,40.34907,331.27,0.65,0.73,2020-01-14,1119,N,VIIRS,n,2,289.27,4.05,D,0
37.12569,40.15308,326,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,288,3.17,D,0
37.13885,40.13795,367,0.63,0.72,2020-01-14,1119,N,VIIRS,h,2,291.78,15.51,D,0
37.15933,40.14486,347.34,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,290.96,10.53,D,0
37.16552,40.12263,339.54,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,287.91,10.55,D,0
37.1338,40.13612,342.85,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,290.82,5.02,D,0
37.14056,40.13589,340.13,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,289.27,4,D,0
37.161,40.14277,354.21,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,290.64,9.01,D,0
37.1607,40.12799,338.38,0.63,0.72,2020-01-14,1119,N,VIIRS,n,2,288.86,8.46,D,0
37.19499,40.1492,347.38,0.64,0.72,2020-01-14,1119,N,VIIRS,n,2,291.21,6.1,D,0
41.18995,32.62052,328.69,0.39,0.36,2020-01-14,2339,N,VIIRS,n,2,273.74,9.73,N,2
41.26484,31.42142,302.06,0.42,0.37,2020-01-14,2339,N,VIIRS,n,2,277.11,0.87,N,2
41.26076,31.42557,298.43,0.42,0.37,2020-01-14,2339,N,VIIRS,n,2,276.55,1.89,N,2
41.25521,31.41405,306.96,0.42,0.37,2020-01-14,2339,N,VIIRS,n,2,275.21,0.84,N,2
41.63068,27.686,302.15,0.38,0.43,2020-01-14,2339,N,VIIRS,n,2,274.8,1.2,N,2
40.78107,29.60074,300.55,0.47,0.4,2020-01-14,2339,N,VIIRS,n,2,279.34,1.16,N,2
40.75816,29.75994,295.42,0.46,0.39,2020-01-14,2339,N,VIIRS,n,2,277.61,0.97,N,2
38.65233,39.77114,295.86,0.39,0.44,2020-01-14,2339,N,VIIRS,n,2,269.6,0.68,N,2
40.26039,30.04186,296.54,0.45,0.39,2020-01-14,2339,N,VIIRS,n,2,272.35,0.73,N,0
40.24178,29.92546,303.49,0.45,0.39,2020-01-14,2339,N,VIIRS,n,2,272.97,1.14,N,2
39.86527,26.24255,303.42,0.43,0.46,2020-01-14,2339,N,VIIRS,n,2,276.8,1.33,N,2
38.74992,26.94925,320.48,0.39,0.44,2020-01-14,2340,N,VIIRS,n,2,278.62,2.1,N,2
38.73826,26.94284,308.68,0.39,0.44,2020-01-14,2340,N,VIIRS,n,2,279.61,0.99,N,2
38.73819,26.94571,305.26,0.39,0.44,2020-01-14,2340,N,VIIRS,n,2,283.85,1.43,N,2
36.93118,36.00026,298.77,0.44,0.38,2020-01-14,2340,N,VIIRS,n,2,277.63,0.84,N,2
36.73598,36.20837,295.75,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,283.35,0.82,N,2
36.73247,36.20736,297.57,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,281.62,0.82,N,2
36.73155,36.21228,304.57,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,283.81,0.82,N,2
36.7308,36.19646,313.89,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,282.96,1.72,N,2
36.72988,36.2014,312.05,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,279.6,1.72,N,2
36.72804,36.21124,307.97,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,280.57,0.98,N,2
36.71842,36.20323,327.67,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,281.25,2.1,N,2
36.69195,36.20601,297.32,0.45,0.39,2020-01-14,2340,N,VIIRS,n,2,283.11,0.85,N,2
36.86926,34.76389,304.28,0.41,0.37,2020-01-14,2340,N,VIIRS,n,2,280.98,1.06,N,2
37.13498,40.50988,333.6,0.49,0.65,2020-01-15,0920,N,VIIRS,n,2,279.47,5.32,D,0
37.09932,40.36152,340.01,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,282.06,4.57,D,0
37.0933,40.27144,325.92,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,282.53,2.88,D,0
